keyword,tier,page,wordstat_ws,wordstat_phrase,wordstat_exact,google_pos,yandex_pos,bing_pos,duckduckgo_pos_ru,duckduckgo_pos_en,brave_pos,tavily_target,chatgpt_search_brand,chatgpt_search_target,gemini_app_brand,gemini_app_target,notes,short_videos_present,brand_in_short_videos
дешевые матрасы,HF,askona,184,,,нет,нет,нет,9,нет,нет,нет,OpenModel да,OpenModel да,OpenModel да,OpenModel да,Wordstat WS — все формы; целевая /matrasy/deshevye-matrasy/; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,да,нет
недорогие матрасы,HF,askona,447,,,нет,нет,нет,нет,нет,нет,нет,OpenModel да,OpenModel да,OpenModel да,OpenModel да,каннибализация с nedorogie-matrasy; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
матрасы купить,HF,askona,7751,,,>10,>10,Askona #7,>10,>10,Askona #7,"бренд, не target",OpenModel да,OpenModel да,OpenModel да,OpenModel да,широкий транзакционный; SerpAPI google: Askona #8 /matrasy; SerpAPI yandex: Askona #9 /matrasy; SerpAPI duckduckgo: Askona #8 /; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app; SerpAPI duckduckgo (ru-ru): Askona #5 /; SerpAPI duckduckgo (us-en): Askona #10 /,да,да
дешевые матрасы askona,MF,askona,10,,,>10,1,Askona #1 nedorogie,2,1,Askona #1 nedorogie,"бренд, не target",OpenModel да,OpenModel да,OpenModel да,OpenModel да,бренд + категория; SerpAPI google: Askona #1 /matrasy/nedorogie-matrasy; Askona #2 /matrasy/matrasy-ekonom-klassa; Askona #3 /matrasy; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,да,да
недорогие матрасы аскона,MF,askona,2,,,>10,1,Askona #1 nedorogie,3,2,Askona #1 nedorogie,"бренд, не target",OpenModel да,OpenModel да,OpenModel да,OpenModel да,бренд + категория; SerpAPI google: Askona #1 /matrasy/dvuspalnye-matrasy; Askona #2 /matrasy/nedorogie-matrasy; Askona #3 /matrasy; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
матрас недорого москва,MF,askona,20,,,нет,6,,нет,нет,,"бренд, не target",OpenModel да,OpenModel да,OpenModel да,OpenModel да,гео + price intent; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
дешевый матрас 160x200 купить,LF,askona,71683,,,>10,нет,Askona #2 не target,нет,>10,Askona #2 не target,нет,OpenModel да,OpenModel да,OpenModel да,OpenModel да,размер + price; кластер 160x200 ~71k (Wordstat 2021); SerpAPI google: Askona #6 /matrasy/160x200; SerpAPI duckduckgo: Askona #6 /matrasy/160x200; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app; SerpAPI duckduckgo (us-en): Askona #7 /matrasy/160x200,,
матрас эконом класса askona,LF,askona,5,,,>10,>10,Askona #1 ekonom-klassa,>10,,Askona #1 ekonom-klassa,"бренд, не target",OpenModel да,OpenModel да,OpenModel да,OpenModel да,конкурирует /matrasy-ekonom-klassa/; SerpAPI google: Askona #1 /matrasy/matrasy-ekonom-klassa; Askona #2 /matrasy/nedorogie-matrasy; Askona #4 /blog/article/10-dostupnykh-matrasov-askona; SerpAPI yandex: Askona #1 /matrasy/matrasy-ekonom-klassa; SerpAPI duckduckgo: Askona #1 /matrasy/matrasy-ekonom-klassa; Askona #2 /matrasy; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
дешевые матрасы от производителя,MF,askona,,,,нет,нет,target #2,3,5,target #2,нет,OpenModel да,OpenModel да,OpenModel да,OpenModel да,единственный запрос с target в Brave #2; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
женские спортивные брюки,HF,lamoda,147,,,2,4,target #5,2,2,target #5,да,OpenModel да,OpenModel да,OpenModel да,OpenModel да,основной кластер; H1/Title рекомендуется «брюки»; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,да,нет
спортивные штаны женские,HF,lamoda,508,,,4,4,target #3,2,3,target #3,нет,OpenModel да,OpenModel да,OpenModel да,OpenModel да,синоним; target стабилен в Brave/Tavily; Block3: OpenModel API 15/15 (§5.6) — не consumer ChatGPT Search / Gemini app,,
